candidate_id,rank,score,reasoning
CAND_0000013,28,0.294546076545154,"Demonstrates 1.1 years of engineering experience (with 1.1 years focused on ML/AI systems). Showcases hands-on expertise in key mandatory technologies including relevant ML/AI frameworks. Hirable within a 30-day notice period, based in an acceptable location, and showing a 28% interaction rate."
CAND_0000012,29,0.28381634992495264,"A director engineer with 1.1 years of experience, including 0.0 years in applied ML/AI roles. Showcases hands-on expertise in key mandatory technologies including relevant ML/AI frameworks. A responsive candidate (16% response rate) situated in an acceptable location with 60 days notice."
CAND_0000049,30,0.24883310012642706,Demonstrates 11.8 years of engineering experience (with 7.2 years focused on ML/AI systems). Possesses robust coverage of mandatory skills like relevant ML/AI frameworks with strong peer endorsements. A responsive candidate (59% response rate) situated in an acceptable location with 120 days notice.
CAND_0000035,31,0.23728128573608004,"A junior engineer with 4.2 years of experience, including 0.0 years in applied ML/AI roles. Showcases hands-on expertise in key mandatory technologies including ranking. Located in an acceptable location with a 60-day notice period and a responsive 34% recruiter response rate."
CAND_0000021,32,0.23549077090185927,"Demonstrates 14.3 years of engineering experience (with 9.2 years focused on ML/AI systems). Showcases hands-on expertise in key mandatory technologies including ranking, embeddings, and vector-db. Hirable within a 60-day notice period, based in an acceptable location, and showing a 49% interaction rate."
CAND_0000039,33,0.22782646940129753,"A director engineer with 3.8 years of experience, including 0.0 years in applied ML/AI roles. Possesses robust coverage of mandatory skills like relevant ML/AI frameworks with strong peer endorsements. A responsive candidate (52% response rate) situated in an acceptable location with 30 days notice."
CAND_0000002,34,0.21806494103280613,"A director engineer with 12.4 years of experience, including 8.1 years in applied ML/AI roles. Strong match with mandatory skills like relevant ML/AI frameworks, backed by a high verified skill trust index. Located in an acceptable location with a 60-day notice period and a responsive 28% recruiter response rate."
CAND_0000015,35,0.19900569197851664,"A junior engineer with 5.3 years of experience, including 2.0 years in applied ML/AI roles. Showcases hands-on expertise in key mandatory technologies including vector-db. Located in an acceptable location with a 90-day notice period and a responsive 32% recruiter response rate."
CAND_0000042,36,0.19716486409722123,"A director engineer with 4.9 years of experience, including 4.9 years in applied ML/AI roles. Strong match with mandatory skills like relevant ML/AI frameworks, backed by a high verified skill trust index. Located in an acceptable location with a 30-day notice period and a responsive 57% recruiter response rate."
CAND_0000011,37,0.18941750791666012,"A junior engineer with 1.9 years of experience, including 1.9 years in applied ML/AI roles. Showcases hands-on expertise in key mandatory technologies including ranking. Located in an acceptable location with a 90-day notice period and a responsive 56% recruiter response rate."
CAND_0000005,38,0.1841012574646888,"Brings 10.8 years of professional experience, with 7.1 years dedicated specifically to AI/ML applications. Possesses robust coverage of mandatory skills like relevant ML/AI frameworks with strong peer endorsements. Located in an acceptable location with a 30-day notice period and a responsive 37% recruiter response rate."
CAND_0000018,39,0.17199172421497294,"Brings 6.5 years of professional experience, with 6.5 years dedicated specifically to AI/ML applications. Strong match with mandatory skills like relevant ML/AI frameworks, backed by a high verified skill trust index. A responsive candidate (16% response rate) situated in an acceptable location with 120 days notice."
CAND_0000009,40,0.15860665704293742,"Brings 10.9 years of professional experience, with 6.8 years dedicated specifically to AI/ML applications. Showcases hands-on expertise in key mandatory technologies including relevant ML/AI frameworks. A responsive candidate (53% response rate) situated in an acceptable location with 150 days notice. However, the profile indicates a longer notice period of 150 days."
CAND_0000022,41,0.15853499583452693,Demonstrates 1.1 years of engineering experience (with 1.1 years focused on ML/AI systems). Possesses robust coverage of mandatory skills like relevant ML/AI frameworks with strong peer endorsements. Located in an acceptable location with a 150-day notice period and a responsive 27% recruiter response rate. Note that the candidate has a longer notice period of 150 days.
CAND_0000041,42,0.13612085805971672,"Demonstrates 13.5 years of engineering experience (with 11.8 years focused on ML/AI systems). Showcases hands-on expertise in key mandatory technologies including relevant ML/AI frameworks. A responsive candidate (7% response rate) situated in an acceptable location with 90 days notice. However, the profile indicates a longer notice period of 90 days."
CAND_0000030,43,0.09220589182158073,"Demonstrates 9.8 years of engineering experience (with 5.6 years focused on ML/AI systems). Strong match with mandatory skills like relevant ML/AI frameworks, backed by a high verified skill trust index. Hirable within a 60-day notice period, based in an acceptable location, and showing a 66% interaction rate. A potential concern is a longer notice period of 60 days."
CAND_0000019,44,0.07264235921929836,Demonstrates 6.4 years of engineering experience (with 3.7 years focused on ML/AI systems). Possesses robust coverage of mandatory skills like relevant ML/AI frameworks with strong peer endorsements. A responsive candidate (34% response rate) situated in an acceptable location with 60 days notice. Note that the candidate has a longer notice period of 60 days.
CAND_0000027,45,0.062275029991908516,"Brings 3.8 years of professional experience, with 0.0 years dedicated specifically to AI/ML applications. Possesses robust coverage of mandatory skills like retrieval with strong peer endorsements. Located in an acceptable location with a 90-day notice period and a responsive 57% recruiter response rate. However, the profile indicates a longer notice period of 90 days."
CAND_0000024,46,0.048525172963274604,"A director engineer with 7.4 years of experience, including 7.4 years in applied ML/AI roles. Possesses robust coverage of mandatory skills like relevant ML/AI frameworks with strong peer endorsements. Hirable within a 60-day notice period, based in an acceptable location, and showing a 78% interaction rate. However, the profile indicates a longer notice period of 60 days."
CAND_0000008,47,0.046936339085963744,Demonstrates 3.6 years of engineering experience (with 3.6 years focused on ML/AI systems). Showcases hands-on expertise in key mandatory technologies including relevant ML/AI frameworks. A responsive candidate (42% response rate) situated in Noida/Pune with 90 days notice. A potential concern is a longer notice period of 90 days.
CAND_0000003,48,0.046193802456066586,"A junior engineer with 1.1 years of experience, including 1.1 years in applied ML/AI roles. Strong match with mandatory skills like relevant ML/AI frameworks, backed by a high verified skill trust index. A responsive candidate (46% response rate) situated in an acceptable location with 150 days notice. A potential concern is a longer notice period of 150 days."
CAND_0000047,49,0.036535251393811564,"Brings 2.3 years of professional experience, with 2.3 years dedicated specifically to AI/ML applications. Showcases hands-on expertise in key mandatory technologies including relevant ML/AI frameworks. Located in an acceptable location with a 90-day notice period and a responsive 39% recruiter response rate. However, the profile indicates a longer notice period of 90 days."
CAND_0000028,50,0.02439093413580109,"Brings 1.1 years of professional experience, with 0.0 years dedicated specifically to AI/ML applications. Showcases hands-on expertise in key mandatory technologies including relevant ML/AI frameworks. Located in an acceptable location with a 60-day notice period and a responsive 14% recruiter response rate. A potential concern is a longer notice period of 60 days."
